institution,num_students,international_students_%,year
"University of California, Irvine",26614.00,0.16,2016
University of Mannheim,11761.00,0.15,2016
University of Notre Dame,11829.00,0.1,2016
University of Western Australia,20851.00,0.27,2016
RWTH Aachen University,37917.00,0.16,2016
University of Southampton,20925.00,0.29,2016
Scuola Normale Superiore di Pisa,462.00,0.05,2016
University of Montreal,38264.00,0.25,2016
Pierre and Marie Curie University,27862.00,0.18,2016
Purdue University,39256.00,0.22,2016
Pohang University of Science and Technology,3055.00,0.04,2016
"University of Maryland, College Park",31331.00,0.09,2016
Ghent University,32166.00,0.09,2016
University of Birmingham,25295.00,0.23,2016
University of Bern,14708.00,0.14,2016
University of Cape Town,20040.00,0.18,2016
University of Florida,50095.00,0.09,2016
University of Erlangen-Nuremberg,36146.00,0.09,2016
"Rutgers, the State University of New Jersey",37032.00,0.08,2016
University of Münster,39838.00,0.08,2016
Radboud University Nijmegen,17713.00,0.1,2016
University of Colorado Boulder,29325.00,0.08,2016
Tufts University,10410.00,0.14,2016
"Royal Holloway, University of London",8747.00,0.37,2016
Lancaster University,11512.00,0.33,2016
University of Geneva,15668.00,0.39,2016
University of York,,,2016
Case Western Reserve University,9259.00,0.17,2016
University of Leeds,27703.00,0.21,2016
University of Oslo,27139.00,0.18,2016
Stockholm University,31715.00,0.08,2016
University of Alberta,36299.00,0.23,2016
Chinese University of Hong Kong,17916.00,0.22,2016
Karlsruhe Institute of Technology,25294.00,0.16,2016
University of Sussex,12001.00,0.35,2016
University of Massachusetts,56959.00,0.11,2016
University of Vienna,34651.00,0.25,2016
University of Nottingham,30144.00,0.27,2016
"University of California, Santa Cruz",17404.00,0.01,2016
University of Lausanne,11964.00,0.22,2016
Autonomous University of Barcelona,30538.00,0.1,2016
University of Virginia,23845.00,0.12,2016
Korea Advanced Institute of Science and Technology (KAIST),9027.00,0.09,2016
University of Adelaide,20771.00,0.26,2016
University of East Anglia,14992.00,0.28,2016
University of Twente,6631.00,0.26,2016
Sungkyunkwan University (SKKU),24365.00,0.09,2016
VU University Amsterdam,23280.00,0.06,2016
KTH Royal Institute of Technology,12062.00,0.21,2016
University of Cologne,43280.00,0.11,2016
University of Liverpool,18815.00,0.3,2016
TU Dresden,35487.00,0.12,2016
University of Rochester,9390.00,0.26,2016
Trinity College Dublin,15521.00,0.25,2016
Lomonosov Moscow State University,30822.00,0.2,2016
University of Miami,15286.00,0.14,2016
University of Arizona,36429.00,0.08,2016
Pompeu Fabra University,10901.00,0.13,2016
University of Reading,12050.00,0.28,2016
Yeshiva University,6753.00,0.07,2016
"University of California, Riverside",20626.00,0.12,2016
University of Leicester,14541.00,0.35,2016
National Taiwan University,31891.00,0.07,2016
Technical University of Denmark,9990.00,0.18,2016
Université Catholique de Louvain,28856.00,0.19,2016
University of Aberdeen,12938.00,0.33,2016
University of Auckland,29787.00,0.28,2016
University of Barcelona,47491.00,0.1,2016
University of Konstanz,10930.00,0.12,2016
Eindhoven University of Technology,8176.00,0.14,2016
University College Dublin,22193.00,0.23,2016
Hebrew University of Jerusalem,17612.00,0.05,2016
University of Waterloo,30726.00,0.14,2016
University of Gothenburg,26420.00,0.12,2016
Scuola Superiore Sant’Anna,769.00,0.17,2016
University of Bergen,11623.00,0.12,2016
Cardiff University,23347.00,0.23,2016
University of Utah,25674.00,0.09,2016
Brandeis University,5495.00,0.22,2016
University of Dundee,11628.00,0.25,2016
University of Würzburg,26576.00,0.08,2016
Paris-Sud University,27603.00,0.17,2016
Arizona State University,83236.00,0.09,2016
University of Antwerp,12346.00,0.16,2016
Boston College,13216.00,0.19,2016
Ulm University,9187.00,0.1,2016
University of Luxembourg,5144.00,0.52,2016
Texas A&M University,50657.00,0.09,2016
Charité - Universitätsmedizin Berlin,6853.00,0.16,2016
Newcastle University,20174.00,0.29,2016
"St George’s, University of London",2958.00,0.17,2016
University of Trento,16841.00,0.08,2016
Paris Diderot University – Paris 7,27756.00,0.17,2016
Queen’s University Belfast,17940.00,0.3,2016
Aalborg University,17422.00,0.15,2016
"Birkbeck, University of London",9454.00,0.38,2016
University of Bologna,85532.00,0.07,2016
University at Buffalo,25668.00,0.19,2016
University of Calgary,28341.00,0.17,2016
Chalmers University of Technology,8605.00,0.15,2016
City University of Hong Kong,10015.00,0.28,2016
Copenhagen Business School,18293.00,0.19,2016
Dalhousie University,15064.00,0.18,2016
University of Duisburg-Essen,36051.00,0.11,2016
École Normale Supérieure de Lyon,2218.00,0.14,2016
Florida State University,41226.00,0.07,2016
University of Fribourg,10416.00,0.19,2016
Fudan University,32175.00,0.11,2016
George Washington University,20541.00,0.16,2016
Goethe University Frankfurt,31861.00,0.15,2016
University of Hawai’i at Mānoa,,,2016
Hong Kong Polytechnic University,22064.00,0.26,2016
University of Illinois at Chicago,24313.00,0.17,2016
Indiana University,62468.00,0.13,2016
University of Iowa,27526.00,0.11,2016
Johannes Gutenberg University of Mainz,35609.00,0.1,2016
Joseph Fourier University,16130.00,0.13,2016
University of Kiel,24444.00,0.08,2016
Laval University,27227.00,0.12,2016
Medical University of Vienna,7426.00,0.28,2016
Northeastern University,18539.00,0.26,2016
Oregon Health and Science University,2838.00,0.03,2016
University of Otago,18600.00,0.21,2016
University of Ottawa,36733.00,0.15,2016
Paris Descartes University,34691.00,0.15,2016
Peter the Great St Petersburg Polytechnic University,17155.00,0.08,2016
Polytechnic University of Milan,30025.00,0.12,2016
Royal Veterinary College,1819.00,0.18,2016
Rush University,1855.00,0.05,2016
Sapienza University of Rome,120986.00,0.07,2016
University of Science and Technology of China,14290.00,0.02,2016
University of South Florida,31424.00,0.1,2016
Stony Brook University,21908.00,0.24,2016
University of Stuttgart,24099.00,0.2,2016
Swedish University of Agricultural Sciences,3879.00,,2016
Technical University of Darmstadt,20300.00,0.18,2016
University of Technology Sydney,24519.00,0.31,2016
Tel Aviv University,23977.00,0.04,2016
University of Texas at Dallas,16306.00,0.23,2016
Tilburg University,7576.00,0.1,2016
Tohoku University,17200.00,0.07,2016
Tokyo Institute of Technology,9586.00,0.13,2016
University of Victoria,17581.00,0.11,2016
Wake Forest University,7326.00,0.05,2016
University of Western Ontario,27387.00,0.16,2016
William & Mary,7867.00,0.07,2016
University of the Witwatersrand,23321.00,0.09,2016
Aalto University,16099.00,0.17,2016
Aix-Marseille University,71749.00,0.13,2016
University of Bath,12830.00,0.3,2016
Bayreuth University,12520.00,0.08,2016
Bielefeld University,21428.00,0.08,2016
University of Bordeaux,51239.00,0.12,2016
Charles Darwin University,5570.00,0.15,2016
Colorado School of Mines,5287.00,0.12,2016
Colorado State University,26769.00,0.05,2016
University of Delaware,19262.00,0.1,2016
Flinders University,15655.00,0.15,2016
University of Georgia,33119.00,0.07,2016
Griffith University,30251.00,0.21,2016
University of Iceland,13960.00,0.08,2016
Indian Institute of Science,3318.00,0.01,2016
Iowa State University,29991.00,0.11,2016
James Cook University,11713.00,0.11,2016
Justus Liebig University Giessen,25682.00,0.09,2016
King Abdulaziz University,35889.00,0.21,2016
Koç University,4488.00,0.08,2016
Korea University,24043.00,0.14,2016
University of Liège,20951.00,0.23,2016
Linköping University,17866.00,0.1,2016
Nanjing University,29743.00,0.1,2016
National Tsing Hua University,10221.00,0.05,2016
"National University of Ireland, Galway",14067.00,0.14,2016
University of Newcastle,23508.00,0.18,2016
North Carolina State University,30533.00,0.11,2016
Oregon State University,22578.00,0.09,2016
Osaka University,23144.00,0.09,2016
Queen’s University,20488.00,0.1,2016
Queensland University of Technology,33391.00,0.17,2016
Rensselaer Polytechnic Institute,6671.00,0.16,2016
Royal College of Surgeons in Ireland,2473.00,0.63,2016
Ruhr University Bochum,38675.00,0.13,2016
Saint Louis University,11919.00,0.08,2016
University of São Paulo,81402.00,0.04,2016
Simon Fraser University,26640.00,0.19,2016
University of Surrey,12063.00,0.38,2016
Syracuse University,19660.00,0.15,2016
University of Tasmania,18340.00,0.21,2016
"University of Tennessee, Knoxville",24716.00,0.05,2016
Tomsk Polytechnic University,11902.00,0.17,2016
Tulane University,11381.00,0.08,2016
Umeå University,16667.00,0.07,2016
Vienna University of Technology,26419.00,0.27,2016
Virginia Polytechnic Institute and State University,30850.00,0.1,2016
University of Wollongong,16489.00,0.24,2016
Zhejiang University,47508.00,0.05,2016
Aberystwyth University,9252.00,0.18,2016
University of Alaska Fairbanks,3837.00,0.07,2016
Autonomous University of Madrid,28296.00,0.15,2016
Bangor University,9567.00,0.22,2016
University of Bremen,18590.00,0.11,2016
University of Cincinnati,36108.00,0.06,2016
University of Connecticut,25742.00,0.11,2016
Deakin University,32713.00,0.17,2016
University of Essex,12695.00,0.39,2016
George Mason University,26622.00,0.07,2016
University of Greifswald,10931.00,0.06,2016
Gwangju Institute of Science and Technology,1394.00,0.08,2016
University of Hohenheim,9163.00,0.13,2016
University of Innsbruck,18209.00,0.39,2016
Kazan Federal University,23321.00,0.06,2016
University of Kent,17638.00,0.27,2016
Leibniz University of Hanover,22401.00,0.12,2016
Macquarie University,27930.00,0.44,2016
Medical College of Wisconsin,1211.00,0.05,2016
University of Milan,58618.00,0.05,2016
University of Milan-Bicocca,33370.00,0.05,2016
Montpellier University,36731.00,0.14,2016
Nagoya University,15529.00,0.1,2016
University of Naples Federico II,83653.00,0.01,2016
National Chiao Tung University,12646.00,0.05,2016
National Research Nuclear University MePhI,7801.00,0.07,2016
National Taiwan University of Science and Technology (Taiwan Tech),7446.00,0.11,2016
University of Navarra,11259.00,0.16,2016
University of Nebraska-Lincoln,21789.00,0.09,2016
Örebro University,8788.00,0.02,2016
University of Oregon,24418.00,0.11,2016
University of Padua,62577.00,0.04,2016
University of Pavia,22958.00,0.06,2016
Plymouth University,24121.00,0.13,2016
Shanghai Jiao Tong University,38191.00,0.06,2016
University of Southern Denmark,22210.00,0.16,2016
Stellenbosch University,21849.00,0.08,2016
University of Strasbourg,46208.00,0.21,2016
Technical University of Dortmund,29143.00,0.1,2016
Technion Israel Institute of Technology,13855.00,0.04,2016
Toulouse 1 Capitole University,19011.00,0.19,2016
University of Trieste,18135.00,0.09,2016
University of Turin,67552.00,0.06,2016
University of Turku,12326.00,0.05,2016
Vrije Universiteit Brussel,9020.00,0.16,2016
VŠB - Technical University of Ostrava,14991.00,0.05,2016
Yonsei University,24774.00,0.14,2016
York University,48007.00,0.09,2016
Bilkent University,,,2016
"Binghamton University, State University of New York",15799.00,0.14,2016
University of Crete,14650.00,0.05,2016
University of Cyprus,6880.00,0.08,2016
Drexel University,20713.00,0.18,2016
University of Eastern Finland,10798.00,0.06,2016
University of Florence,54290.00,0.07,2016
University of St Gallen,6848.00,0.34,2016
Graz University of Technology,7542.00,0.16,2016
University of Guelph,21643.00,0.04,2016
Hanyang University,16729.00,0.19,2016
Hong Kong Baptist University,10441.00,0.25,2016
University of Houston,40325.00,0.09,2016
Indian Institute of Technology Bombay,8327.00,0.01,2016
Instituto Superior Técnico Lisboa,11778.00,0.09,2016
University of Jyväskylä,9703.00,0.05,2016
La Trobe University,22037.00,0.27,2016
Loughborough University,13951.00,0.22,2016
University of Manitoba,28576.00,0.11,2016
University of Missouri,29885.00,0.05,2016
University of Modena and Reggio Emilia,19693.00,0.06,2016
University of Montana,12470.00,0.03,2016
"National University of Ireland, Maynooth",7653.00,0.11,2016
University of Nebraska Medical Center,2857.00,0.08,2016
University of New Mexico,,,2016
Norwegian University of Science and Technology,17381.00,0.09,2016
University of Oulu,14056.00,0.06,2016
Panthéon-Sorbonne University – Paris 1,42215.00,0.2,2016
Polytechnic University of Turin,27709.00,0.16,2016
University of Rome III,36353.00,0.05,2016
Sabancı University,2739.00,0.06,2016
San Diego State University,27420.00,0.05,2016
University of South Australia,18971.00,0.32,2016
University of South Carolina,29336.00,0.01,2016
University of South Dakota,8003.00,0.02,2016
State University of Campinas,27095.00,0.03,2016
University of Stirling,7828.00,0.22,2016
Sun Yat-sen University,51351.00,0.08,2016
Swansea University,12801.00,0.2,2016
Swinburne University of Technology,20314.00,0.33,2016
University of Tartu,10269.00,0.03,2016
Temple University,33268.00,0.05,2016
University of Texas at San Antonio,27520.00,0.06,2016
UiT The Arctic University of Norway,10398.00,0.1,2016
Université Libre de Bruxelles,23819.00,0.32,2016
Lille 2 University – Health and Law,26894.00,0.08,2016
University College Cork,15805.00,0.15,2016
Verona University,25250.00,0.07,2016
Victoria University of Wellington,17142.00,0.21,2016
Washington State University,24550.00,0.07,2016
Wayne State University,23065.00,0.07,2016
American University,11604.00,0.12,2016
Aston University,,,2016
University of Aveiro,10791.00,0.1,2016
University of Bari Aldo Moro,51560.00,0.02,2016
Bar-Ilan University,17503.00,0.05,2016
Bournemouth University,14907.00,0.18,2016
University of Brescia,14076.00,0.07,2016
Brno University of Technology,23694.00,0.15,2016
Brunel University London,12613.00,0.38,2016
Ca’ Foscari University of Venice,19267.00,0.07,2016
University of Cagliari,30638.00,0.01,2016
University of Canterbury,12187.00,0.2,2016
Catholic University of the Sacred Heart,30304.00,0.1,2016
Charles University in Prague,51438.00,0.15,2016
"China Medical University, Taiwan",7983.00,0.08,2016
City University London,13053.00,0.5,2016
Claude Bernard University Lyon 1,35308.00,0.11,2016
University of Coimbra,22795.00,0.11,2016
Complutense University of Madrid,86519.00,0.13,2016
Concordia University,31017.00,0.27,2016
Curtin University,30333.00,0.38,2016
Dublin City University,8546.00,0.17,2016
East China University of Science and Technology,27140.00,0.05,2016
Ewha Womans University,17625.00,0.06,2016
Federico Santa María Technical University,11718.00,0.02,2016
University of Ferrara,18882.00,0.07,2016
Florida International University,32566.00,0.07,2016
University of Genoa,37373.00,0.09,2016
Georgia State University,28534.00,0.05,2016
University of Graz,20584.00,0.12,2016
Heriot-Watt University,8773.00,0.43,2016
Hokkaido University,18162.00,0.09,2016
Howard University,10297.00,0.05,2016
University of Hull,15141.00,0.2,2016
University of Idaho,11641.00,0.06,2016
Indian Institute of Technology Delhi,8371.00,0.01,2016
Indian Institute of Technology Kharagpur,9928.00,0,2016
Indian Institute of Technology Madras,8234.00,0.01,2016
University of Ioannina,20825.00,0.04,2016
Iran University of Science and Technology,10311.00,0,2016
Johannes Kepler University of Linz,19646.00,0.1,2016
University of Kaiserslautern,14184.00,0.14,2016
Keele University,8397.00,0.2,2016
University of KwaZulu-Natal,30572.00,0.06,2016
Kyung Hee University,24356.00,0.14,2016
Kyushu University,18925.00,0.08,2016
Lehigh University,6300.00,0.15,2016
Louisiana State University,28116.00,0.06,2016
University of Macau,8521.00,0.31,2016
Makerere University,37340.00,0.09,2016
Marche Polytechnic University,16589.00,0.04,2016
"University of Maryland, Baltimore County",13908.00,0.07,2016
Murdoch University,16606.00,0.43,2016
University of Nantes,33866.00,0.11,2016
National and Kapodistrian University of Athens,63052.00,0.09,2016
National Autonomous University of Mexico,137378.00,0.05,2016
National Cheng Kung University,21234.00,0.11,2016
National Institute of Applied Sciences of Lyon (INSA Lyon),6137.00,0.31,2016
National Yang-Ming University,4496.00,0.02,2016
University of Neuchâtel,4358.00,0.22,2016
New University of Lisbon,18867.00,0.07,2016
University of Nice Sophia Antipolis,27304.00,0.22,2016
Novosibirsk State University,7131.00,0.13,2016
The Open University,76683.00,0.09,2016
Oxford Brookes University,14238.00,0.25,2016
University of Palermo,43875.00,0.01,2016
University of Parma,26937.00,0.07,2016
University of Pisa,47247.00,0.04,2016
Polytechnic University of Catalonia,22893.00,0.28,2016
Pontifical Catholic University of Chile,25075.00,0.07,2016
University of Porto,32720.00,0.09,2016
University of Portsmouth,20161.00,0.23,2016
RMIT University,29501.00,0.25,2016
University of Rome II – Tor Vergata,33504.00,0.06,2016
University of Rovira i Virgili,12533.00,0.09,2016
Saint Petersburg State University,20836.00,0.07,2016
University of Salento,19959.00,0.01,2016
University of San Francisco,10788.00,0.17,2016
University of Saskatchewan,19028.00,0.14,2016
Sharif University of Technology,10977.00,0,2016
University of Siena,18846.00,0.05,2016
Southern Cross University,9026.00,0.15,2016
State University of New York Albany,15387.00,0.08,2016
University of Strathclyde,15705.00,0.2,2016
University of Tampere,10045.00,0.04,2016
Tampere University of Technology,6147.00,0.13,2016
Tokyo Medical and Dental University (TMDU),2872.00,0.07,2016
Tokyo Metropolitan University,9303.00,0.04,2016
University of Tsukuba,15930.00,0.16,2016
University of Ulsan,14037.00,0.03,2016
Ulster University,19622.00,0.15,2016
Université du Québec à Montréal,27046.00,0.09,2016
Universiti Teknologi Malaysia,16270.00,0.13,2016
University of Urbino Carlo Bo,13435.00,0.07,2016
University of Valencia,58413.00,0.09,2016
University of Waikato,10159.00,0.25,2016
Western Sydney University,30704.00,0.09,2016
Wuhan University,46227.00,0.07,2016
Xiamen University,32921.00,0.05,2016
American University of Beirut,7695.00,0.25,2016
Amirkabir University of Technology,14080.00,0.01,2016
"University of the Andes, Colombia",15773.00,0.02,2016
University of Arkansas,22819.00,0.05,2016
Auburn University,22386.00,0.04,2016
Babeş-Bolyai University,37915.00,0.02,2016
University of the Basque Country,46373.00,0.05,2016
Bauman Moscow State Technical University,18808.00,0.04,2016
Ben-Gurion University of the Negev,16695.00,0.02,2016
Blaise Pascal University,15619.00,0.17,2016
Boğaziçi University,11506.00,0.07,2016
University of Burgundy,26612.00,0.11,2016
University of Canberra,11221.00,0.24,2016
Carleton University,25036.00,0.18,2016
University of Catania,55859.00,0.01,2016
Central Queensland University,11452.00,0.27,2016
University of Chile,29207.00,0.03,2016
China Agricultural University,19342.00,0.01,2016
Chung-Ang University,13015.00,0.17,2016
Czech Technical University in Prague,22751.00,,2016
De Montfort University,16812.00,0.21,2016
East China Normal University,29623.00,0.11,2016
Edith Cowan University,27491.00,0.16,2016
Federal University of Rio de Janeiro,52878.00,0.02,2016
University of Granada,53476.00,0.06,2016
University of Haifa,17758.00,0.01,2016
Harbin Institute of Technology,31658.00,0.07,2016
University of Hertfordshire,19665.00,0.27,2016
Hiroshima University,14686.00,0.05,2016
Huazhong University of Science and Technology,57242.00,0.04,2016
Indian Institute of Technology Guwahati,4710.00,0.01,2016
Indian Institute of Technology Kanpur,6167.00,0,2016
Indian Institute of Technology Roorkee,8061.00,0.01,2016
Isfahan University of Technology,10964.00,0.01,2016
Istanbul Technical University,34550.00,0.05,2016
Jadavpur University,10697.00,0,2016
Kanazawa University,10546.00,0.05,2016
Kansas State University,21379.00,0.1,2016
Keio University,33751.00,0.05,2016
Kent State University,23122.00,0.08,2016
King Fahd University of Petroleum and Minerals,6898.00,0.2,2016
King Saud University,40666.00,0.07,2016
University of La Laguna,22422.00,0.05,2016
Lappeenranta University of Technology,3486.00,0.19,2016
University of Limerick,12212.00,0.13,2016
University of Lisbon,47849.00,0.09,2016
Liverpool John Moores University,18513.00,0.13,2016
Mahidol University,27402.00,0.03,2016
Manchester Metropolitan University,28037.00,0.14,2016
University of Maribor,14531.00,0.04,2016
Masaryk University,40898.00,0.17,2016
Massey University,19101.00,0.15,2016
Memorial University of Newfoundland,15464.00,0.1,2016
Middle East Technical University,25779.00,0.07,2016
University of Minho,19090.00,0.09,2016
Missouri University of Science and Technology,7647.00,0.12,2016
Montana State University,12331.00,0.04,2016
Monterrey Institute of Technology and Higher Education,14353.00,0.12,2016
National Central University,10915.00,0.06,2016
National Sun Yat-Sen University,9336.00,0.04,2016
National Taiwan Normal University,11072.00,0.19,2016
National Technical University of Athens,14780.00,0.07,2016
New Jersey Institute of Technology,10646.00,0.17,2016
New Mexico State University,15035.00,0.07,2016
University of North Carolina at Greensboro,16446.00,0.02,2016
Oklahoma State University,21270.00,0.07,2016
Osaka City University,8604.00,0.04,2016
Otto von Guericke University of Magdeburg,14104.00,0.13,2016
University of Oviedo,24210.00,0.05,2016
Palacký University in Olomouc,18540.00,0.09,2016
Panjab University,16691.00,0.01,2016
Paris Dauphine University,9565.00,0.28,2016
Pontifical Catholic University of Rio de Janeiro (PUC-Rio),14300.00,0.03,2016
Portland State University,20398.00,0.08,2016
University of Pretoria,37314.00,0.08,2016
Pusan National University,24929.00,0.12,2016
Quaid-i-azam University,12688.00,0,2016
University of Regina,11550.00,0.12,2016
Renmin University of China,24954.00,0.06,2016
University of Rennes 1,22186.00,0.12,2016
University of Salamanca,31035.00,0.12,2016
University of Santiago de Compostela,29085.00,0.06,2016
Semmelweis University,12920.00,0.25,2016
University of Seville,64931.00,0.07,2016
Université de Sherbrooke,13438.00,0.05,2016
Soochow University,36465.00,0.02,2016
South China University of Technology,41438.00,0.03,2016
Tallinn University of Technology,14061.00,0.05,2016
Tehran University of Medical Sciences,13912.00,0.01,2016
University of Texas at Arlington,29396.00,0.1,2016
Tianjin University,29693.00,0.01,2016
Tokyo University of Agriculture and Technology,5865.00,0.05,2016
University of Toledo,19465.00,0.09,2016
Tongji University,37394.00,0.1,2016
University of Tulsa,4597.00,0.25,2016
United Arab Emirates University,9221.00,0.26,2016
University of Warsaw,49292.00,0.07,2016
University of Wisconsin-Milwaukee,22542.00,0.05,2016
Xi’an Jiaotong University,29863.00,0.04,2016
University of Zaragoza,31046.00,0.05,2016
University of A Coruña,17062.00,0.02,2016
Adam Mickiewicz University,40633.00,0.01,2016
AGH University of Science and Technology,35569.00,0.01,2016
Ajou University,12706.00,0.02,2016
University of Alcalá,30812.00,0.18,2016
Alexandria University,127431.00,0.01,2016
Alexandru Ioan Cuza University,25724.00,0.05,2016
Aligarh Muslim University,11197.00,0.02,2016
American University of Sharjah,5226.00,0.82,2016
Amrita University,17273.00,0.08,2016
Anadolu University,379231.00,0.01,2016
Andhra University,10407.00,0.03,2016
University of Antioquia,38872.00,0.01,2016
Aristotle University of Thessaloniki,46288.00,0.09,2016
"Asia University, Taiwan",12119.00,0.03,2016
Athens University of Economics and Business,13167.00,0.06,2016
Auckland University of Technology,18981.00,0.38,2016
Austral University of Chile,13794.00,0.01,2016
Beijing Institute of Technology,,,2016
Belarusian State University,29303.00,0.06,2016
University of Belgrade,96968.00,0.05,2016
"Birla Institute of Technology and Science, Pilani",11837.00,0,2016
University of Bradford,11065.00,0.32,2016
University of Brasília,45880.00,0.02,2016
University of Brighton,16924.00,0.19,2016
University of Bucharest,31806.00,0.02,2016
Budapest University of Technology and Economics,22447.00,0.04,2016
Cairo University,231941.00,0.03,2016
University of Calcutta,18511.00,0,2016
"California State University, Long Beach",29594.00,0.05,2016
Capital Medical University,11506.00,0.03,2016
University of Castilla-La Mancha,26381.00,0.03,2016
University of Central Lancashire,18542.00,0.17,2016
University of Cergy-Pontoise,17000.00,0.11,2016
Chang Gung University,7506.00,0,2016
Carlos III University of Madrid,15730.00,0.09,2016
"University of Chemistry and Technology, Prague",4699.00,0.19,2016
Chiang Mai University,35617.00,0.01,2016
Chiba University,14554.00,0.05,2016
China University of Geosciences (Wuhan),29483.00,0.03,2016
China University of Petroleum (Beijing),14579.00,0.06,2016
Chonbuk National University,23270.00,0.03,2016
Chongqing University,43955.00,0.03,2016
Chonnam National University,35779.00,0.03,2016
Chulalongkorn University,38719.00,0.02,2016
Chung Yuan Christian University,15020.00,0.03,2016
Chungnam National University,18361.00,0.03,2016
Clemson University,19198.00,0.08,2016
Comenius University in Bratislava,20879.00,0.1,2016
Coventry University,21934.00,0.35,2016
Dalian University of Technology,34326.00,0.02,2016
University of Debrecen,29714.00,0.13,2016
University of Delhi,32567.00,0.01,2016
University of Dhaka,62716.00,0.05,2016
Dublin Institute of Technology,13839.00,0.25,2016
Ehime University,8394.00,0.01,2016
University of Electronic Science and Technology of China,21689.00,0,2016
Eötvös Loránd University,28698.00,0.04,2016
Erciyes University,28079.00,0.02,2016
Federal University of Bahia,39861.00,0.01,2016
Federal University of Minas Gerais,42612.00,0.01,2016
Federal University of Paraná (UFPR),21850.00,0.01,2016
Federal University of Rio Grande do Sul,38743.00,0.01,2016
Federal University of Santa Catarina,26078.00,0.01,2016
Federal University of São Carlos,18587.00,0,2016
Federal University of Viçosa,13163.00,0.03,2016
Federal University of Lavras,10350.00,0.02,2016
Feng Chia University,20213.00,0.07,2016
Florida Institute of Technology,4408.00,0.26,2016
Fu Jen Catholic University,25951.00,0.04,2016
Gdańsk University of Technology,25217.00,0.01,2016
University of Ghana,37274.00,0.02,2016
Gifu University,7318.00,0.04,2016
Glasgow Caledonian University,13527.00,0.16,2016
University of Greenwich,18096.00,0.32,2016
Hacettepe University,39606.00,0.04,2016
University of Huddersfield,15436.00,0.25,2016
Hunan University,42756.00,0.02,2016
University of Ibadan,26247.00,0.01,2016
University of Indonesia,43565.00,0,2016
Inha University,20353.00,0.03,2016
I-Shou University,16263.00,0.1,2016
Istanbul University,82096.00,0.06,2016
Jagiellonian University,42835.00,0.05,2016
Jilin University,65605.00,0.03,2016
University of Jordan,35577.00,0.13,2016
Jordan University of Science and Technology,24686.00,0.23,2016
Juntendo University,3955.00,0.01,2016
K.N. Toosi University of Technology,7146.00,0,2016
Kaohsiung Medical University,7009.00,0.05,2016
Khon Kaen University,39669.00,0.01,2016
King Mongkut’s University of Technology Thonburi,17791.00,0.01,2016
Kingston University,20778.00,0.34,2016
Kinki University,31216.00,0.02,2016
Kobe University,15885.00,0.06,2016
Konkuk University,26483.00,0.06,2016
Kumamoto University,10226.00,0.05,2016
Kyungpook National University,27152.00,0.04,2016
Kyushu Institute of Technology,5890.00,0.04,2016
University of Latvia,15100.00,0.03,2016
Lille 1 University – Science and Technology,19599.00,0.18,2016
University of Lincoln,10665.00,0.11,2016
University of Ljubljana,48821.00,0.04,2016
University of Marrakech Cadi Ayyad,56060.00,0.01,2016
Miami University,16370.00,0.07,2016
Middlesex University,17753.00,0.44,2016
Moscow Institute of Physics and Technology,5395.00,0.12,2016
University of Murcia,31460.00,0.06,2016
Nagasaki University,9137.00,0.04,2016
University of Nairobi,72676.00,0.01,2016
National Chengchi University,16867.00,0.1,2016
National Chung Cheng University,11989.00,0.01,2016
National Chung Hsing University,15632.00,0.04,2016
National Taipei University of Technology,10227.00,0.03,2016
National Taiwan Ocean University,8240.00,0.05,2016
National University of Córdoba,108373.00,0.02,2016
National University of Science and Technology (MISiS),4441.00,0.13,2016
National University of Sciences and Technology,9808.00,0.03,2016
Niigata University,12460.00,0.03,2016
Northumbria University,22750.00,0.16,2016
Northwestern Polytechnical University,23056.00,0.03,2016
Nottingham Trent University,21852.00,0.18,2016
Oakland University,14584.00,0.02,2016
Ocean University of China,36205.00,0.01,2016
Ohio University,22224.00,0.1,2016
Okayama University,13035.00,0.03,2016
Osaka Prefecture University,8051.00,0.03,2016
University of Pardubice,10671.00,0.04,2016
University of Paris North – Paris 13,23026.00,0.22,2016
Paris-Sorbonne University – Paris 4,21580.00,0.21,2016
University of Patras,29251.00,0.04,2016
University of Pécs,21819.00,0.1,2016
Polytechnic University of Valencia,33172.00,0.07,2016
Pontifical Catholic University of Paraná,7741.00,0.02,2016
Pontifical Catholic University of Rio Grande do Sul (PUCRS),14797.00,0,2016
Pontifical Catholic University of Valparaíso,13493.00,0,2016
Prince of Songkla University,38274.00,0.01,2016
Qatar University,9583.00,0.42,2016
Rio de Janeiro State University (UERJ),28757.00,0,2016
Rochester Institute of Technology,12965.00,0.13,2016
Saitama University,7469.00,0.02,2016
University of Salford,16152.00,0.25,2016
"University of Santiago, Chile (USACH)",22739.00,0.01,2016
São Paulo State University (UNESP),50594.00,0.05,2016
Savitribai Phule Pune University,4858.00,0.03,2016
University of Science and Technology Beijing,22780.00,0.04,2016
Sejong University,11704.00,0.03,2016
University of Seoul,10243.00,0.03,2016
Shahid Beheshti University,17800.00,0.01,2016
Shanghai University,46044.00,0.03,2016
Shantou University,9593.00,0,2016
Sheffield Hallam University,27477.00,0.15,2016
Shinshu University,11232.00,0.03,2016
Showa University,3675.00,0,2016
Sichuan University,65035.00,0.02,2016
University of Silesia in Katowice,32764.00,0.01,2016
Slovak University of Technology in Bratislava,16400.00,0.02,2016
Sogang University,10625.00,0.07,2016
Sophia University,12799.00,0.08,2016
